City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
238,Geraldton,AU,-28.7667,114.6,61.21,72,40,18.41,scattered clouds
239,Kushtagi,IN,15.7667,76.2,71.29,83,100,17.96,overcast clouds
240,Hobyo,SO,5.3505,48.5268,75.7,83,83,23.47,broken clouds
241,San Cristobal,VE,7.7669,-72.225,80.78,92,52,5.59,broken clouds
242,Rio Grande,BR,-32.035,-52.0986,49.95,89,0,8.5,clear sky
243,Hofn,IS,64.2539,-15.2082,51.01,90,21,7.43,few clouds
244,Bjerkvik,NO,68.5597,17.5189,46.99,87,100,4.23,overcast clouds
245,Iqaluit,CA,63.7506,-68.5145,50.7,71,70,3.0,broken clouds
246,Shimorskoye,RU,55.3244,42.0267,61.0,71,62,6.15,broken clouds
247,Cabedelo,BR,-6.9811,-34.8339,74.07,83,6,17.54,clear sky
248,Lumphat,KH,13.4878,106.9816,73.02,99,92,3.87,overcast clouds
249,Cairns,AU,-16.9167,145.7667,76.95,80,37,4.61,scattered clouds
250,San Quintin,MX,30.4833,-115.95,75.79,66,40,13.73,scattered clouds
251,Santa Maria Del Oro,MX,25.9333,-105.3667,83.16,35,72,9.62,broken clouds
252,Conceicao Do Araguaia,BR,-8.2578,-49.2647,83.79,31,68,2.08,broken clouds
253,Tiznit,MA,29.5833,-9.5,81.05,39,11,2.89,few clouds
254,Korla,CN,41.7597,86.1469,70.56,39,96,18.14,overcast clouds
255,Greece,US,43.2098,-77.6931,71.67,71,75,1.01,broken clouds
256,Lagoa,PT,39.05,-27.9833,70.66,87,100,9.15,overcast clouds
257,Buraydah,SA,26.326,43.975,87.37,12,2,7.36,clear sky
258,Baculin,PH,7.4525,126.5842,81.03,81,99,4.38,overcast clouds
259,Marienburg,PL,54.0359,19.0266,64.89,65,12,9.95,few clouds
260,Khash,IR,28.2211,61.2158,77.23,15,0,5.93,clear sky
261,Rohnert Park,US,38.3396,-122.7011,97.59,52,2,5.01,clear sky
262,Sao Lourenco Do Sul,BR,-31.3653,-51.9783,49.89,79,0,6.91,clear sky
263,Constantine,DZ,36.365,6.6147,79.9,38,96,3.15,overcast clouds
